Entity,Label,Ner_model
SARS,DISEASE,bionlp13cg
Opstetten,CHEMICAL,bionlp13cg
Drosten,CHEMICAL,bionlp13cg
coronaviruses TGEV,DISEASE,bionlp13cg
Gosert,CHEMICAL,bionlp13cg
vaccinia,DISEASE,bionlp13cg
gastroenteritis,DISEASE,bionlp13cg
human disease,DISEASE,bionlp13cg
Haijema,CHEMICAL,bionlp13cg
Gastroenteritis Coronavirus,DISEASE,bionlp13cg
angiotensin,CHEMICAL,bionlp13cg
CORONAVIRUS,DISEASE,bionlp13cg
infection,DISEASE,bionlp13cg
Li,CHEMICAL,bionlp13cg
peritonitis,DISEASE,bionlp13cg
coronavirus,DISEASE,bionlp13cg
acute respiratory syndrome,DISEASE,bionlp13cg
bovine,CHEMICAL,bionlp13cg
PLP,CHEMICAL,bionlp13cg
amino acid identity,CHEMICAL,bionlp13cg
productive infection,DISEASE,bionlp13cg
CcoV,CHEMICAL,bionlp13cg
TRS,CHEMICAL,bionlp13cg
Meer,DISEASE,craft
Krijnse-Locker,DISEASE,craft
viroplexis,DISEASE,craft
coronavirus infectious bronchitis virus,DISEASE,craft
Campanacci,DISEASE,craft
MHV,DISEASE,craft
"Shi et al., 1999; Sims et al., 2000; van der Meer",CHEMICAL,craft
E. coli,DISEASE,craft
double-membrane,CHEMICAL,craft
KEYS,CHEMICAL,craft
Enjuanes,CHEMICAL,craft
Yokomuri,CHEMICAL,craft
hepatitis virus,DISEASE,craft
Syncytia,CHEMICAL,craft
SARS,DISEASE,craft
Opstetten,CHEMICAL,craft
Drosten,CHEMICAL,craft
coronaviruses TGEV,DISEASE,craft
Gosert,CHEMICAL,craft
vaccinia,DISEASE,craft
gastroenteritis,DISEASE,craft
human disease,DISEASE,craft
Haijema,CHEMICAL,craft
Gastroenteritis Coronavirus,DISEASE,craft
angiotensin,CHEMICAL,craft
CORONAVIRUS,DISEASE,craft
infection,DISEASE,craft
Li,CHEMICAL,craft
peritonitis,DISEASE,craft
coronavirus,DISEASE,craft
acute respiratory syndrome,DISEASE,craft
bovine,CHEMICAL,craft
PLP,CHEMICAL,craft
amino acid identity,CHEMICAL,craft
productive infection,DISEASE,craft
CcoV,CHEMICAL,craft
TRS,CHEMICAL,craft
Meer,DISEASE,jnlpa
Krijnse-Locker,DISEASE,jnlpa
viroplexis,DISEASE,jnlpa
coronavirus infectious bronchitis virus,DISEASE,jnlpa
Campanacci,DISEASE,jnlpa
MHV,DISEASE,jnlpa
"Shi et al., 1999; Sims et al., 2000; van der Meer",CHEMICAL,jnlpa
E. coli,DISEASE,jnlpa
double-membrane,CHEMICAL,jnlpa
KEYS,CHEMICAL,jnlpa
Enjuanes,CHEMICAL,jnlpa
Yokomuri,CHEMICAL,jnlpa
hepatitis virus,DISEASE,jnlpa
Syncytia,CHEMICAL,jnlpa
SARS,DISEASE,jnlpa
Opstetten,CHEMICAL,jnlpa
Drosten,CHEMICAL,jnlpa
coronaviruses TGEV,DISEASE,jnlpa
Gosert,CHEMICAL,jnlpa
vaccinia,DISEASE,jnlpa
gastroenteritis,DISEASE,jnlpa
human disease,DISEASE,jnlpa
Haijema,CHEMICAL,jnlpa
Gastroenteritis Coronavirus,DISEASE,jnlpa
angiotensin,CHEMICAL,jnlpa
CORONAVIRUS,DISEASE,jnlpa
infection,DISEASE,jnlpa
Li,CHEMICAL,jnlpa
peritonitis,DISEASE,jnlpa
coronavirus,DISEASE,jnlpa
acute respiratory syndrome,DISEASE,jnlpa
bovine,CHEMICAL,jnlpa
PLP,CHEMICAL,jnlpa
amino acid identity,CHEMICAL,jnlpa
productive infection,DISEASE,jnlpa
CcoV,CHEMICAL,jnlpa
TRS,CHEMICAL,jnlpa
