Entity,Label,Ner_model,go_output,umls_output,mesh_output,hpo_output
Gastroenteritis Coronavirus,DISEASE,bc5dr,"[Gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]","[Gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]","[Gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]","[Gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]"
acute respiratory syndrome,DISEASE,bc5dr,"[acute respiratory syndrome, 'Entity_Matching_Score :0.7549746632575989', CUI: C1609528, Name: Restrictive deficit on pulmonary function testing
Definition: FEV1 (forced expiratory volume in 1 second) and FVC (forced vital capacity) less than 80 per cent. [NIHR:ldaugherty]
TUI(s): T047
Aliases: (total: 4): 
	 Restrictive deficit on pulmonary function tests, Restrictive respiratory insufficiency', Restrictive respiratory syndrome, Restrictive respiratory disease]","[acute respiratory syndrome, 'Entity_Matching_Score :0.7549746632575989', CUI: C1609528, Name: Restrictive deficit on pulmonary function testing
Definition: FEV1 (forced expiratory volume in 1 second) and FVC (forced vital capacity) less than 80 per cent. [NIHR:ldaugherty]
TUI(s): T047
Aliases: (total: 4): 
	 Restrictive deficit on pulmonary function tests, Restrictive respiratory insufficiency', Restrictive respiratory syndrome, Restrictive respiratory disease]","[acute respiratory syndrome, 'Entity_Matching_Score :0.7549746632575989', CUI: C1609528, Name: Restrictive deficit on pulmonary function testing
Definition: FEV1 (forced expiratory volume in 1 second) and FVC (forced vital capacity) less than 80 per cent. [NIHR:ldaugherty]
TUI(s): T047
Aliases: (total: 4): 
	 Restrictive deficit on pulmonary function tests, Restrictive respiratory insufficiency', Restrictive respiratory syndrome, Restrictive respiratory disease]","[acute respiratory syndrome, 'Entity_Matching_Score :0.7549746632575989', CUI: C1609528, Name: Restrictive deficit on pulmonary function testing
Definition: FEV1 (forced expiratory volume in 1 second) and FVC (forced vital capacity) less than 80 per cent. [NIHR:ldaugherty]
TUI(s): T047
Aliases: (total: 4): 
	 Restrictive deficit on pulmonary function tests, Restrictive respiratory insufficiency', Restrictive respiratory syndrome, Restrictive respiratory disease]"
Opstetten,CHEMICAL,bc5dr,[Opstetten],[Opstetten],[Opstetten],[Opstetten]
coronaviruses TGEV,DISEASE,bc5dr,[coronaviruses],[coronaviruses],[coronaviruses],[coronaviruses]
Yokomuri,CHEMICAL,bc5dr,[Yokomuri],[Yokomuri],[Yokomuri],[Yokomuri]
coronavirus infectious bronchitis virus,DISEASE,bc5dr,[coronavirus],[coronavirus],[coronavirus],[coronavirus]
vaccinia,DISEASE,bc5dr,[vaccinia],[vaccinia],[vaccinia],[vaccinia]
peritonitis,DISEASE,bc5dr,"[peritonitis, 'Entity_Matching_Score :1.0', CUI: C0031154, Name: Peritonitis
Definition: INFLAMMATION of the PERITONEUM lining the ABDOMINAL CAVITY as the result of infectious, autoimmune, or chemical processes. Primary peritonitis is due to infection of the PERITONEAL CAVITY via hematogenous or lymphatic spread and without intra-abdominal source. Secondary peritonitis arises from the ABDOMINAL CAVITY itself through RUPTURE or ABSCESS of intra-abdominal organs.
TUI(s): T046
Aliases: (total: 1): 
	 Inflammation of the peritoneum, 'Entity_Matching_Score :0.7352676391601562', CUI: C0270250, Name: Meconium peritonitis
Definition: Inflammation of the peritoneum caused by an intrauterine intestinal perforation leading to presence of meconium within the fetal peritoneal cavity. This is frequently seen as intra-abdominal calcifications on imaging.
TUI(s): T047
Aliases: (total: 0): 
	 ]","[peritonitis, 'Entity_Matching_Score :1.0', CUI: C0031154, Name: Peritonitis
Definition: INFLAMMATION of the PERITONEUM lining the ABDOMINAL CAVITY as the result of infectious, autoimmune, or chemical processes. Primary peritonitis is due to infection of the PERITONEAL CAVITY via hematogenous or lymphatic spread and without intra-abdominal source. Secondary peritonitis arises from the ABDOMINAL CAVITY itself through RUPTURE or ABSCESS of intra-abdominal organs.
TUI(s): T046
Aliases: (total: 1): 
	 Inflammation of the peritoneum, 'Entity_Matching_Score :0.7352676391601562', CUI: C0270250, Name: Meconium peritonitis
Definition: Inflammation of the peritoneum caused by an intrauterine intestinal perforation leading to presence of meconium within the fetal peritoneal cavity. This is frequently seen as intra-abdominal calcifications on imaging.
TUI(s): T047
Aliases: (total: 0): 
	 ]","[peritonitis, 'Entity_Matching_Score :1.0', CUI: C0031154, Name: Peritonitis
Definition: INFLAMMATION of the PERITONEUM lining the ABDOMINAL CAVITY as the result of infectious, autoimmune, or chemical processes. Primary peritonitis is due to infection of the PERITONEAL CAVITY via hematogenous or lymphatic spread and without intra-abdominal source. Secondary peritonitis arises from the ABDOMINAL CAVITY itself through RUPTURE or ABSCESS of intra-abdominal organs.
TUI(s): T046
Aliases: (total: 1): 
	 Inflammation of the peritoneum, 'Entity_Matching_Score :0.7352676391601562', CUI: C0270250, Name: Meconium peritonitis
Definition: Inflammation of the peritoneum caused by an intrauterine intestinal perforation leading to presence of meconium within the fetal peritoneal cavity. This is frequently seen as intra-abdominal calcifications on imaging.
TUI(s): T047
Aliases: (total: 0): 
	 ]","[peritonitis, 'Entity_Matching_Score :1.0', CUI: C0031154, Name: Peritonitis
Definition: INFLAMMATION of the PERITONEUM lining the ABDOMINAL CAVITY as the result of infectious, autoimmune, or chemical processes. Primary peritonitis is due to infection of the PERITONEAL CAVITY via hematogenous or lymphatic spread and without intra-abdominal source. Secondary peritonitis arises from the ABDOMINAL CAVITY itself through RUPTURE or ABSCESS of intra-abdominal organs.
TUI(s): T046
Aliases: (total: 1): 
	 Inflammation of the peritoneum, 'Entity_Matching_Score :0.7352676391601562', CUI: C0270250, Name: Meconium peritonitis
Definition: Inflammation of the peritoneum caused by an intrauterine intestinal perforation leading to presence of meconium within the fetal peritoneal cavity. This is frequently seen as intra-abdominal calcifications on imaging.
TUI(s): T047
Aliases: (total: 0): 
	 ]"
E. coli,DISEASE,bc5dr,[E. coli],[E. coli],[E. coli],[E. coli]
CcoV,CHEMICAL,bc5dr,[CcoV],[CcoV],[CcoV],[CcoV]
Drosten,CHEMICAL,bc5dr,[Drosten],[Drosten],[Drosten],[Drosten]
PLP,CHEMICAL,bc5dr,[PLP],[PLP],[PLP],[PLP]
Haijema,CHEMICAL,bc5dr,[Haijema],[Haijema],[Haijema],[Haijema]
"Shi et al., 1999; Sims et al., 2000; van der Meer",CHEMICAL,bc5dr,[Shi],[Shi],[Shi],[Shi]
amino acid identity,CHEMICAL,bc5dr,"[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]"
infection,DISEASE,bc5dr,"[infection, 'Entity_Matching_Score :0.8858330249786377', CUI: C2242472, Name: Bone infection
Definition: An acute or chronic infectious process affecting the bones.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7915589213371277', CUI: C0007642, Name: Cellulitis
Definition: An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.
TUI(s): T046
Aliases: (total: 1): 
	 Skin infection]","[infection, 'Entity_Matching_Score :0.8858330249786377', CUI: C2242472, Name: Bone infection
Definition: An acute or chronic infectious process affecting the bones.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7915589213371277', CUI: C0007642, Name: Cellulitis
Definition: An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.
TUI(s): T046
Aliases: (total: 1): 
	 Skin infection]","[infection, 'Entity_Matching_Score :0.8858330249786377', CUI: C2242472, Name: Bone infection
Definition: An acute or chronic infectious process affecting the bones.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7915589213371277', CUI: C0007642, Name: Cellulitis
Definition: An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.
TUI(s): T046
Aliases: (total: 1): 
	 Skin infection]","[infection, 'Entity_Matching_Score :0.8858330249786377', CUI: C2242472, Name: Bone infection
Definition: An acute or chronic infectious process affecting the bones.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7915589213371277', CUI: C0007642, Name: Cellulitis
Definition: An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.
TUI(s): T046
Aliases: (total: 1): 
	 Skin infection]"
CORONAVIRUS,DISEASE,bc5dr,[CORONAVIRUS],[CORONAVIRUS],[CORONAVIRUS],[CORONAVIRUS]
Syncytia,CHEMICAL,bc5dr,[Syncytia],[Syncytia],[Syncytia],[Syncytia]
Krijnse-Locker,DISEASE,bc5dr,[Krijnse-Locker],[Krijnse-Locker],[Krijnse-Locker],[Krijnse-Locker]
SARS,DISEASE,bc5dr,[SARS],[SARS],[SARS],[SARS]
human disease,DISEASE,bc5dr,[human disease],[human disease],[human disease],[human disease]
coronavirus,DISEASE,bc5dr,[coronavirus],[coronavirus],[coronavirus],[coronavirus]
Gosert,CHEMICAL,bc5dr,[Gosert],[Gosert],[Gosert],[Gosert]
bovine,CHEMICAL,bc5dr,[bovine],[bovine],[bovine],[bovine]
Li,CHEMICAL,bc5dr,[Li],[Li],[Li],[Li]
double-membrane,CHEMICAL,bc5dr,[double-membrane],[double-membrane],[double-membrane],[double-membrane]
MHV,DISEASE,bc5dr,[MHV],[MHV],[MHV],[MHV]
ER/Golgi,CELLULAR_COMPONENT,bionlp13cg,[ER/Golgi],[ER/Golgi],[ER/Golgi],[ER/Golgi]
coronaviruses TGEV,ORGANISM,bionlp13cg,[coronaviruses],[coronaviruses],[coronaviruses],[coronaviruses]
endoplasmic-reticulum-Golgi-intermediate compartment,GENE_OR_GENE_PRODUCT,bionlp13cg,[endoplasmic-reticulum-Golgi-intermediate],[endoplasmic-reticulum-Golgi-intermediate],[endoplasmic-reticulum-Golgi-intermediate],[endoplasmic-reticulum-Golgi-intermediate]
human,ORGANISM,bionlp13cg,"[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]"
GFP,GENE_OR_GENE_PRODUCT,bionlp13cg,[GFP],[GFP],[GFP],[GFP]
chromosomes,CELLULAR_COMPONENT,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
infectious clones,CELL,bionlp13cg,[infectious clones],[infectious clones],[infectious clones],[infectious clones]
proteinase catalytic residues,GENE_OR_GENE_PRODUCT,bionlp13cg,[proteinase],[proteinase],[proteinase],[proteinase]
small membrane,CELLULAR_COMPONENT,bionlp13cg,[small membrane],[small membrane],[small membrane],[small membrane]
T7,GENE_OR_GENE_PRODUCT,bionlp13cg,[T7],[T7],[T7],[T7]
mice,ORGANISM,bionlp13cg,[mice],[mice],[mice],[mice]
cells,CELL,bionlp13cg,"[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]","[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]","[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]","[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]"
double-membrane vesicle,CELLULAR_COMPONENT,bionlp13cg,[double-membrane],[double-membrane],[double-membrane],[double-membrane]
Golgi,CELLULAR_COMPONENT,bionlp13cg,[Golgi],[Golgi],[Golgi],[Golgi]
clones,CELL,bionlp13cg,[clones],[clones],[clones],[clones]
"Lai, 1992",GENE_OR_GENE_PRODUCT,bionlp13cg,[Lai],[Lai],[Lai],[Lai]
"Li et al.,",ORGANISM,bionlp13cg,[Li],[Li],[Li],[Li]
cell surface,CELLULAR_COMPONENT,bionlp13cg,[cell surface],[cell surface],[cell surface],[cell surface]
3C-like,GENE_OR_GENE_PRODUCT,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
co-amino terminal replicase,CELLULAR_COMPONENT,bionlp13cg,[co-amino terminal replicase],[co-amino terminal replicase],[co-amino terminal replicase],[co-amino terminal replicase]
replicase,CELLULAR_COMPONENT,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
host cell cytoplasm,CELL,bionlp13cg,[host],[host],[host],[host]
CcoV,GENE_OR_GENE_PRODUCT,bionlp13cg,[CcoV],[CcoV],[CcoV],[CcoV]
IBV,ORGANISM,bionlp13cg,[IBV],[IBV],[IBV],[IBV]
Ziebuhr,GENE_OR_GENE_PRODUCT,bionlp13cg,[Ziebuhr],[Ziebuhr],[Ziebuhr],[Ziebuhr]
positive-strand genome RNA,ORGANISM,bionlp13cg,[positive-strand genome RNA],[positive-strand genome RNA],[positive-strand genome RNA],[positive-strand genome RNA]
cytoplasmic,ORGANISM_SUBSTANCE,bionlp13cg,[cytoplasmic],[cytoplasmic],[cytoplasmic],[cytoplasmic]
exonuclease,GENE_OR_GENE_PRODUCT,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
feline infectious peritonitis virus,ORGANISM,bionlp13cg,[feline],[feline],[feline],[feline]
single-stranded RNA molecule,GENE_OR_GENE_PRODUCT,bionlp13cg,[single-stranded RNA molecule],[single-stranded RNA molecule],[single-stranded RNA molecule],[single-stranded RNA molecule]
human coronavirus,ORGANISM,bionlp13cg,"[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]"
RNA-dependent RNA polymerase,GENE_OR_GENE_PRODUCT,bionlp13cg,[RNA-dependent RNA polymerase],[RNA-dependent RNA polymerase],[RNA-dependent RNA polymerase],[RNA-dependent RNA polymerase]
Enjuanes,ORGANISM,bionlp13cg,[Enjuanes],[Enjuanes],[Enjuanes],[Enjuanes]
coronaviruses,ORGANISM,bionlp13cg,[coronaviruses],[coronaviruses],[coronaviruses],[coronaviruses]
plaques,TISSUE,bionlp13cg,"[plaques, 'Entity_Matching_Score :0.815388560295105', CUI: C0333463, Name: Senile plaques
Definition: plaques consist of amyloid deposits surrounded by a web of astrocytic processes, swollen neurites, and neuron terminals; seen in the cerebral cortex in Alzheimer's disease.
TUI(s): T020
Aliases: (total: 3): 
	 Neuritic plaques, Senile druse, Braindruse]","[plaques, 'Entity_Matching_Score :0.815388560295105', CUI: C0333463, Name: Senile plaques
Definition: plaques consist of amyloid deposits surrounded by a web of astrocytic processes, swollen neurites, and neuron terminals; seen in the cerebral cortex in Alzheimer's disease.
TUI(s): T020
Aliases: (total: 3): 
	 Neuritic plaques, Senile druse, Braindruse]","[plaques, 'Entity_Matching_Score :0.815388560295105', CUI: C0333463, Name: Senile plaques
Definition: plaques consist of amyloid deposits surrounded by a web of astrocytic processes, swollen neurites, and neuron terminals; seen in the cerebral cortex in Alzheimer's disease.
TUI(s): T020
Aliases: (total: 3): 
	 Neuritic plaques, Senile druse, Braindruse]","[plaques, 'Entity_Matching_Score :0.815388560295105', CUI: C0333463, Name: Senile plaques
Definition: plaques consist of amyloid deposits surrounded by a web of astrocytic processes, swollen neurites, and neuron terminals; seen in the cerebral cortex in Alzheimer's disease.
TUI(s): T020
Aliases: (total: 3): 
	 Neuritic plaques, Senile druse, Braindruse]"
vaccines,ORGANISM,bionlp13cg,[vaccines],[vaccines],[vaccines],[vaccines]
CEACAM,GENE_OR_GENE_PRODUCT,bionlp13cg,[CEACAM],[CEACAM],[CEACAM],[CEACAM]
ERGIC,CELLULAR_COMPONENT,bionlp13cg,[ERGIC],[ERGIC],[ERGIC],[ERGIC]
FIPV,ORGANISM,bionlp13cg,[FIPV],[FIPV],[FIPV],[FIPV]
coronavirus replicase,ORGANISM,bionlp13cg,[coronavirus],[coronavirus],[coronavirus],[coronavirus]
